Ім'я Фамілія 1,Ім'я Фамілія 2,Результат 1,Результат 2,Турнір,Дата,Стадія,Дисципліна
Євген Драгула,Юлій Гараксим,0,3,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,quarterfinal,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Володимир Коротя,3,2,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,quarterfinal,COMBINED_PYRAMID_CHANGES
Максим Король,Степан Ковач,3,1,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,quarterfinal,COMBINED_PYRAMID_CHANGES
Михайло Сличко,Роман Церковник,3,0,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Максим Росул,Олексій Проскурін,3,0,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Євген Драгула,Євген Кравчак,3,0,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Марк Кольмар,Юлій Гараксим,1,3,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Олександр Лизанець,3,0,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Стефанія Церковник,3,1,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Роман Чийпеш,Максим Король,0,3,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Віктор Загуменний,Степан Ковач,0,3,Чемпіонат м.Ужгород 2024 комбінована піраміда зі змінами,2024-11-16,group,COMBINED_PYRAMID_CHANGES
Євген Драгула,Артур Зелінко,4,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,final,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Євген Драгула,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,semifinal,COMBINED_PYRAMID_CHANGES
Микола Леміш,Артур Зелінко,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,semifinal,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Максим Король,3,1,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,quarterfinal,COMBINED_PYRAMID_CHANGES
Євген Драгула,Стефанія Церковник,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,quarterfinal,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Микола Леміш,2,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,quarterfinal,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Артур Зелінко,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,quarterfinal,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Сергій Король,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Роман Чийпеш,Максим Король,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Євген Драгула,Роман Качур,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Стефанія Церковник,Едуард Олах,3,2,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Євген Кравчак,3,2,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Евген Куртинець,Микола Леміш,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Олександр Лизанець,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Артур Зелінко,Рамір Лацко,3,2,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,round16,COMBINED_PYRAMID_CHANGES
Володимир Комарницький,Євген Кравчак,2,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Іван Смочков,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Роман Качур,Роман Чийпеш,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Іван Боршош,Олександр Лизанець,2,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Андрій Сергєєв,Олексій Бамбушкар,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Рамір Лацко,Сергій Король,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Роман Церковник,Евген Куртинець,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Тиберій Тирпак,Максим Росул,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Едуард Олах,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Євген Кравчак,3,1,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Микола Леміш,Роман Чийпеш,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Євген Драгула,Олександр Лизанець,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Андрій Сергєєв,Стефанія Церковник,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Сергій Король,3,1,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Евген Куртинець,Максим Король,3,2,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Микола Шикітка,Максим Росул,3,1,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Едуард Олах,Артур Зелінко,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Іван Смочков,Роман Качур,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Володимир Комарницький,Едуард Олах,1,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Роман Качур,Максим Росул,3,0,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Іван Боршош,Максим Король,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Олексій Бамбушкар,Сергій Король,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Рамір Лацко,Андрій Сергєєв,3,1,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Роман Церковник,Олександр Лизанець,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Тиберій Тирпак,Микола Леміш,0,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Олексій Проскурін,Євген Кравчак,2,3,Чемпіонат Закарпатської області 2024 Комбінована піраміда зі змінами,2024-11-30,group,COMBINED_PYRAMID_CHANGES
Максим Король,Микола Гуденко,3,4,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,final,COMBINED_PYRAMID
Артур Зелінко,Максим Король,3,4,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,semifinal,COMBINED_PYRAMID
Микола Шикітка,Микола Гуденко,0,4,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,semifinal,COMBINED_PYRAMID
Максим Росул,Артур Зелінко,2,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,quarterfinal,COMBINED_PYRAMID
Максим Король,Степан Ковач,3,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,quarterfinal,COMBINED_PYRAMID
Микола Шикітка,Володимир Коротя,3,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,quarterfinal,COMBINED_PYRAMID
Микола Леміш,Микола Гуденко,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,quarterfinal,COMBINED_PYRAMID
Василь Єгоров,Максим Росул,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Артур Зелінко,Олексій Бамбушкар,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Максим Король,Микола Качур,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Степан Ковач,"Мар""ян Матіїшин",3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Микола Шикітка,Роман Качур,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Володимир Коротя,Олександр Іванович,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Едуард Олах,Микола Леміш,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Микола Гуденко,Рамір Лацко,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,round16,COMBINED_PYRAMID
Рамір Лацко,Олексій Проскурін,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Степан Ковач,Іван Смочков,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Роман Чийпеш,Микола Шикітка,2,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Микола Гуденко,Роман Гурчумелія,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Владіслав Шикітка,Рамір Лацко,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
"Мар""ян Матіїшин",Василь Єгоров,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Микола Леміш,Марк Кольмар,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Артур Зелінко,Євген Драгула,3,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олексій Бамбушкар,Андрій Сергєєв,2,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Іван Боршош,Максим Король,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олександр Грін,Тиберій Тирпак,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Степан Ковач,Максим Росул,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Деніел Кедебец,Микола Шикітка,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Роман Церковник,Стефанія Церковник,3,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Володимир Коротя,Богдан Порох,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Аванес Кальмар,Микола Качур,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олександр Шевелюк,Євген Кравчак,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олександр Іванович,Едуард Олах,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Владислав Кузьма,Олександр Лизанець,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Микола Гуденко,Роман Качур,3,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Рамір Лацко,Василь Єгоров,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Микола Леміш,Артур Зелінко,1,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Андрій Сергєєв,Максим Король,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олександр Грін,Степан Ковач,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Микола Шикітка,Роман Церковник,3,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Володимир Коротя,Микола Качур,3,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Євген Кравчак,Едуард Олах,2,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олександр Лизанець,Микола Гуденко,0,3,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олексій Проскурін,Роман Качур,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Іван Смочков,Деніел Кедебец,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Роман Чийпеш,Максим Росул,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Роман Гурчумелія,Владіслав Шикітка,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Роман Качур,Владислав Кузьма,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олександр Іванович,Олександр Шевелюк,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Аванес Кальмар,Богдан Порох,0,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Стефанія Церковник,Деніел Кедебец,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Максим Росул,Тиберій Тирпак,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Іван Боршош,Олексій Бамбушкар,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Євген Драгула,Марк Кольмар,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
"Мар""ян Матіїшин",Владіслав Шикітка,2,0,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Роман Качур,Олександр Грін,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олександр Іванович,Андрій Сергєєв,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Богдан Порох,Микола Леміш,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Стефанія Церковник,Рамір Лацко,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Максим Росул,Олександр Лизанець,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Олексій Бамбушкар,Євген Кравчак,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Євген Драгула,Микола Качур,1,2,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
"Мар""ян Матіїшин",Роман Церковник,2,1,Чемпіонат Закарпатської області 2025 комбінована піраміда,2025-01-25,group,COMBINED_PYRAMID
Євген Драгула,Михайло Сличко,1,4,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,final,COMBINED_PYRAMID
Максим Король,Євген Драгула,3,4,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,semifinal,COMBINED_PYRAMID
Артур Зелінко,Михайло Сличко,2,4,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,semifinal,COMBINED_PYRAMID
Максим Король,Едуард Олах,3,1,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,quarterfinal,COMBINED_PYRAMID
Євген Драгула,Стефанія Церковник,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,quarterfinal,COMBINED_PYRAMID
Артур Зелінко,Микола Леміш,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,quarterfinal,COMBINED_PYRAMID
Володимир Коротя,Михайло Сличко,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,quarterfinal,COMBINED_PYRAMID
Максим Король,Олександр Лизанець,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Едуард Олах,Василь Єгоров,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Максим Росул,Євген Драгула,1,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Стефанія Церковник,Степан Ковач,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Артур Зелінко,Євген Кравчак,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Микола Качур,Микола Леміш,2,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Володимир Коротя,Рамір Лацко,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Олександр Грін,Михайло Сличко,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,round16,COMBINED_PYRAMID
Валентин Свалявчик,Олександр Рогович,1,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Сергій Король,Золтан Горват,3,1,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Віктор Загуменний,Роман Гурчумелія,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Володимир Шикітка,Юрій Леміш,3,1,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Бардо Адам,Іван Смочков,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Іван Боршош,Олексій Проскурін,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Назар Олах,Михайло Сличко,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Максим Король,Олександр Рогович,3,1,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Олександр Лизанець,Євген Кравчак,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Едуард Олах,Марк Кольмар,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Роман Чийпеш,Василь Єгоров,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Максим Росул,Сергій Король,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Євген Драгула,Олексій Бамбушкар,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Олександр Іванович,Андрій Сергєєв,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Віктор Загуменний,Степан Ковач,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Артур Зелінко,Володимир Шикітка,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Роман Церковник,"Мар""ян Матіїшин",0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Микола Качур,Владіслав Шикітка,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Бардо Адам,Микола Леміш,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Володимир Коротя,Олексій Проскурін,3,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Тиберій Тирпак,Рамір Лацко,0,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Стефанія Церковник,Олександр Грін,1,3,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Михайло Сличко,Микола Шикітка,3,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Валентин Свалявчик,Микола Шикітка,1,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Золтан Горват,Бардо Адам,2,0,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Роман Гурчумелія,Володимир Шикітка,0,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Юрій Леміш,Віктор Загуменний,0,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Іван Смочков,Сергій Король,0,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Іван Боршош,Роман Чийпеш,0,2,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Назар Олах,Олександр Рогович,2,1,Чемпіонат м.Ужгород 2025 комбінована піраміда,2025-02-08,group,COMBINED_PYRAMID
Володимир Коротя,Стефанія Церковник,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Іван Смочков,Роман Гурчумелія,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Володимир Коротя,Роман Гурчумелія,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Стефанія Церковник,Іван Смочков,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Володимир Коротя,Іван Смочков,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Роман Гурчумелія,Стефанія Церковник,0,3,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Микола Шикітка,Олексій Бамбушкар,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Юрій Леміш,Іван Боршош,3,1,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Микола Шикітка,Іван Боршош,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Олексій Бамбушкар,Юрій Леміш,2,3,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Микола Шикітка,Юрій Леміш,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Іван Боршош,Олексій Бамбушкар,0,3,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Євген Драгула,Євген Кравчак,3,1,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Марія Левківська,Роман Чийпеш,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Євген Драгула,Роман Чийпеш,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Євген Кравчак,Марія Левківська,1,3,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Євген Драгула,Марія Левківська,1,3,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Роман Чийпеш,Євген Кравчак,0,3,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Максим Король,Олександр Грін,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Володимир Таранчук,Андрій Сергєєв,3,1,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Максим Король,Андрій Сергєєв,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Олександр Грін,Володимир Таранчук,3,0,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Максим Король,Володимир Таранчук,3,2,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Андрій Сергєєв,Олександр Грін,3,2,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,group,FREE_PYRAMID
Стефанія Церковник,Микола Шикітка,3,5,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,final,FREE_PYRAMID
Юрій Леміш,Стефанія Церковник,0,4,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,semifinal,FREE_PYRAMID
Максим Король,Микола Шикітка,0,4,Чемпіонат м.Ужгород 2025 Вільна піраміда,2025-03-08,semifinal,FREE_PYRAMID
